product_name,product_category,product_price,product_description,product_rating,product_stock,product_brand,product_color,product_size,product_discount
First Aid Kit,Health,362.88,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,3,503,Nike,red,M,19.85
Whipped Cream Cheese,Food - Dairy,564.96,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,4,167,Puma,red,L,46.0
Couscous Mix,Food - Grains,373.18,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,1,915,Adidas,blue,M,5.54
Scent Diffuser,Home,22.09,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,3,244,Puma,black,L,41.75
Pet Grooming Scissors,Pets,753.89,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,3,659,Nike,red,L,30.05
Sous Vide Cooker,Kitchen,297.32,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,4,483,Puma,blue,L,46.06
Coconut Milk,Food - Canned Goods,850.88,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,5,682,Adidas,red,L,38.95
Digital Drawing Tablet,Art Supplies,667.38,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,3,804,Nike,green,XL,38.64
Teriyaki Chicken Skewers,Food - Meat,559.63,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,3,185,Nike,black,L,1.6
Ripped Boyfriend Jeans,Clothing - Bottoms,875.65,sed interdum venenatis turpis enim blandit mi in porttitor pede,3,668,Nike,blue,XL,29.88
A-Line Skirt,Clothing - Bottoms,679.68,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,4,767,Puma,black,S,47.13
Cabbage Slaw Mix,Food - Vegetables,57.13,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,1,336,Puma,red,XL,36.61
Travel Yoga Mat,Fitness,115.26,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,5,392,Puma,green,M,23.3
Chilli Lime Corn on the Cob,Food - Vegetable,553.69,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,2,553,Adidas,green,L,36.77
LED Makeup Mirror,Beauty,694.59,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,1,579,Nike,green,M,40.03
Canned Coconut Milk,Food - Canned Goods,948.97,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,2,401,Nike,blue,M,4.12
Peanut Butter Banana Smoothie,Food - Beverages,572.31,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,1,456,Nike,green,S,14.56
Inflatable Paddle Board,Outdoor,261.32,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,4,142,Adidas,blue,M,46.03
Tuna Fish (canned),Food - Canned Goods,949.71,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,3,528,Puma,green,L,20.75
Outdoor Folding Table,Outdoor,683.94,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,2,761,Puma,green,S,45.97
Savory Oatmeal,Food - Breakfast,431.51,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,4,733,Adidas,red,XL,30.48
Garden Hose,Garden,667.54,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,2,567,Puma,blue,S,47.6
Mini Indoor Herb Garden Kit,Garden,479.76,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,2,7,Nike,blue,S,38.02
Fruit and Nut Bars,Food - Snacks,936.0,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,2,715,Adidas,red,XL,49.46
Classic Caesar Dressing,Food - Condiments,332.91,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,2,624,Adidas,red,XL,16.29
Whole Chicken,Food - Meat,171.88,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,4,648,Nike,blue,XL,16.33
Himalayan Pink Salt,Food - Condiments,90.67,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,3,588,Puma,black,L,21.64
Almond Butter Granola Bars,Food - Snacks,211.13,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,5,790,Adidas,red,XL,41.15
Pet Caress Brush,Pets,762.1,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,5,258,Adidas,green,S,17.33
Kids' Art Supplies Kit,Toys,813.57,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,1,853,Puma,red,S,46.02
Pumpkin Spice Muffins,Food - Bakery,249.95,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,4,625,Nike,blue,L,14.7
Baby Safety Corner Guards,Baby,534.82,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,1,607,Nike,black,XL,30.57
Honey Ginger Tea,Food - Beverages,126.02,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,4,603,Nike,green,L,22.09
Collapsible Camping Cup,Outdoor,592.17,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,2,205,Puma,blue,S,24.95
Portable Air Pump,Outdoor,499.64,consequat ut nulla sed accumsan felis ut at dolor quis,4,699,Adidas,green,S,18.72
Sweet Potato Noodles,Food - Pasta,489.11,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,1,67,Nike,green,XL,19.64
Coconut Bowls Set,Kitchen,266.27,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,2,332,Puma,green,S,16.26
Herb Garden Planter Box,Garden,948.28,morbi odio odio elementum eu interdum eu tincidunt in leo,5,556,Adidas,blue,L,26.65
Wireless Wi-Fi Extender,Electronics,370.43,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,4,745,Adidas,black,S,35.39
Digital Food Scale,Kitchen,679.59,eu nibh quisque id justo sit amet sapien dignissim vestibulum,5,631,Puma,green,S,34.35
Smart Thermos,Fitness,186.1,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,5,511,Puma,red,M,10.27
Gardening Gloves,Garden,689.7,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi,2,943,Adidas,green,S,25.75
Peanut Butter Granola,Food - Breakfast,722.13,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,4,259,Nike,red,XL,27.5
Organic Quinoa Chips,Food - Snacks,408.51,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,3,805,Nike,red,S,8.28
Electric Razor,Health,215.24,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,5,822,Nike,red,XL,41.95
Educational STEM Kit,Toys,517.69,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in,1,518,Puma,green,L,48.19
Handcrafted Wooden Jewelry Box,Accessories,772.54,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget,5,497,Puma,black,XL,4.81
Spaghetti Sauce,Food - Canned Goods,668.45,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,2,430,Adidas,black,L,7.67
Home Office Chair,Furniture,656.29,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,3,322,Adidas,blue,XL,30.99
Cushion Covers,Home,297.89,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,2,904,Adidas,red,XL,41.57
Almond Joy Bars,Food - Confectionery,150.49,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,3,49,Adidas,blue,S,45.49
Snack Container Set,Kitchen,416.51,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,2,793,Nike,black,M,37.72
Party Mini Dress,Clothing - Dresses,838.96,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,4,271,Puma,green,XL,48.7
Adjustable Pedicure Footrest,Beauty,901.71,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,1,527,Nike,black,L,38.56
Zesty Cilantro Lime Dressing,Food - Condiments,613.42,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut,3,845,Adidas,red,S,31.41
Scent Diffuser Oil,Home,552.35,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,4,344,Adidas,red,L,15.91
Almond Butter Granola Bars,Food - Snacks,556.27,erat volutpat in congue etiam justo etiam pretium iaculis justo,3,542,Nike,blue,S,46.24
Peach Halves (canned),Food - Canned Goods,716.76,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,2,68,Nike,blue,L,8.59
Organic Tomato Soup,Food - Canned Goods,523.82,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,5,390,Puma,green,M,44.2
Chino Shorts,Clothing - Bottoms,840.39,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,2,379,Adidas,green,XL,2.34
Blue Corn Tortilla Chips,Food - Snacks,977.62,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,5,75,Puma,black,S,8.05
Ricotta Cheese,Food - Dairy,538.4,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,2,295,Nike,red,M,43.93
Cacao Nibs,Food - Baking,712.01,elit ac nulla sed vel enim sit amet nunc viverra dapibus,2,11,Nike,red,L,43.26
Training Soccer Ball,Sports,204.06,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,3,134,Puma,red,L,39.32
Sporty Leggings,Clothing - Activewear,743.69,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla,5,89,Nike,blue,L,44.27
Winter Insulated Jacket,Clothing,188.08,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi,3,26,Nike,green,M,33.79
Electronic Drum Kit,Music,389.7,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,5,308,Puma,green,XL,29.91
Ready-to-Eat Chili,Food - Soups,950.3,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,3,711,Nike,green,M,17.01
Mediterranean Couscous Salad,Food - Salads,380.93,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,3,806,Puma,blue,L,20.27
Outdoor Fire Pit,Outdoor,622.66,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,1,748,Adidas,red,M,5.95
Coconut Water,Food - Beverages,268.98,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,5,157,Puma,blue,L,8.71
Portable Bluetooth Speaker,Audio,668.17,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,2,186,Adidas,black,S,29.09
Miso Dressing,Food - Dressings,161.16,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,3,668,Adidas,red,L,48.96
Miso Soup Mix,Food - Soups,200.04,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,4,124,Adidas,black,XL,11.68
Pasta Maker Machine,Kitchen,266.0,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,5,313,Nike,red,M,23.46
Chicken Breasts,Food - Meat,450.98,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,1,424,Adidas,red,M,47.38
Chicken Fajita Kit,Food - Prepared Foods,64.76,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,3,308,Puma,green,S,27.57
Smartphone Tripod,Photography,157.1,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia,4,898,Adidas,red,S,14.33
Watering Can with Nozzle,Garden,570.77,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,1,724,Puma,red,L,4.39
Digital Kitchen Timer,Kitchen,280.21,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,4,101,Puma,black,L,17.29
Wall Decals for Kids,Home,375.02,congue eget semper rutrum nulla nunc purus phasellus in felis donec,5,790,Puma,green,L,1.67
Lentil Vegetable Stew,Food - Canned Soups,400.32,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,1,814,Puma,blue,XL,29.7
Cilantro Lime Rice,Food - Grains,951.39,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,4,916,Nike,blue,S,25.68
Zucchini Noodle Pasta,Food - Vegetables,222.91,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,3,742,Puma,blue,S,6.42
Peanut Butter Filled Pretzels,Food - Snacks,773.64,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,5,970,Nike,green,L,42.05
Window Bird Feeder with Suction Cups,Outdoor,505.39,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,4,382,Puma,green,M,35.82
Portable Water Filter,Outdoor,967.72,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,1,825,Puma,red,S,10.96
Trackpad for Laptop,Accessories,409.0,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,2,557,Adidas,green,XL,47.97
Mango Chia Pudding,Food - Snacks,286.48,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,2,902,Puma,blue,XL,25.27
Sunflower Seeds,Food - Nuts,543.44,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,5,20,Nike,black,M,9.11
Incense Holder,Home,498.73,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,2,488,Adidas,green,S,48.45
Solar String Lights,Outdoor,733.01,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,5,567,Puma,blue,S,37.47
Sushi Roll Kit,Food - Cooking Kits,762.26,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,1,89,Puma,red,L,27.45
Teriyaki Chicken Skewers,Food - Meat,567.11,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,3,124,Nike,green,L,34.37
Andouille Sausage,Food - Meat,335.42,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,2,733,Puma,red,L,44.88
Thai Peanut Dressing,Food - Condiments,172.88,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,2,601,Puma,green,L,47.18
Magnetic Spice Containers,Kitchen,172.74,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,3,315,Adidas,black,S,35.8
Crispy Rice Treats,Food - Snacks,493.86,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,1,276,Adidas,blue,XL,1.38
Foam Muscle Roller,Fitness,174.68,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,2,614,Adidas,black,S,29.64
Chocolate Avocado Pudding,Food - Desserts,964.27,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,3,915,Puma,blue,XL,39.11
Desk Lamp with USB Port,Office,585.47,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu,2,124,Puma,black,S,0.06
Lemon Garlic Shrimp,Food - Seafood,146.72,suspendisse ornare consequat lectus in est risus auctor sed tristique,2,101,Adidas,black,M,12.37
Graphic Print Leggings,Clothing - Activewear,783.14,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,1,202,Nike,black,L,31.83
Outdoor Folding Table,Outdoor,131.4,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,3,51,Adidas,black,L,21.52
Lentil Soup (canned),Food - Canned Goods,482.03,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,2,601,Puma,red,S,23.39
Rustic Italian Breads,Food - Bakery,699.12,libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,4,606,Puma,blue,S,39.8
Stuffed Grape Leaves,Food - Prepared Foods,879.65,eros elementum pellentesque quisque porta volutpat erat quisque erat eros,2,758,Puma,blue,XL,44.35
Bamboo Charcoal Air Purifier Bags,Home,415.58,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,1,213,Puma,red,L,3.66
Honey Lemon Tea,Food - Beverages,426.2,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia,1,127,Puma,green,M,10.3
Spicy Italian Sausage,Food - Meat & Seafood,657.42,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,3,34,Adidas,blue,M,13.95
Cordless Water Flosser,Health,29.67,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,1,918,Nike,black,XL,11.51
Adjustable Pet Feeder,Pets,847.33,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,1,826,Adidas,black,M,49.08
Chia Seeds,Food - Grains,892.32,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,4,648,Adidas,blue,S,17.03
Raspberry Limeade,Food - Beverages,914.11,in consequat ut nulla sed accumsan felis ut at dolor quis,2,537,Puma,black,L,4.82
Chili Lime Shrimp,Food - Seafood,279.01,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,1,876,Puma,green,M,2.79
Infrared Thermometer,Health,252.58,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,4,409,Nike,red,M,38.8
Apple Cinnamon Breakfast Muffins,Food - Bakery,897.1,ante vestibulum ante ipsum primis in faucibus orci luctus et,2,556,Adidas,green,S,13.87
Maple Cinnamon Granola Bars,Food - Snacks,41.61,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,2,220,Puma,green,M,37.13
Frozen Chicken Nuggets,Food - Frozen Foods,168.18,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,5,829,Nike,red,M,19.11
Art Supplies Organizer,Art Supplies,534.88,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,1,933,Nike,black,L,8.65
Electric Pressure Cooker,Kitchen,393.98,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,2,192,Puma,red,M,26.98
Sports Bottle,Fitness,948.42,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non,2,516,Nike,red,M,10.78
Pet Travel Carrier,Pets,645.92,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,5,24,Puma,red,XL,48.47
Photo Album,Home,527.97,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a,2,787,Adidas,green,S,47.75
3D Night Light,Home,30.94,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,3,171,Puma,blue,S,40.95
Frozen Cauliflower Rice,Food - Frozen Foods,232.77,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,4,280,Adidas,green,M,33.64
BBQ Sauce,Food - Condiments,326.2,pellentesque quisque porta volutpat erat quisque erat eros viverra eget,3,482,Nike,green,XL,3.37
Induction Cooktop,Kitchen,186.52,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,5,14,Adidas,black,M,21.72
Coconut Chia Pudding,Food - Dairy,629.6,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non,5,53,Nike,red,XL,7.37
Dog Collar,Pets,932.92,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,5,643,Nike,blue,XL,4.55
Almond Quinoa Salad,Food - Salads,138.35,nunc proin at turpis a pede posuere nonummy integer non velit donec diam,4,74,Adidas,green,M,18.95
Coconut Cream Pie,Food - Bakery,554.18,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,5,418,Puma,red,L,2.59
Chocolate Avocado Pudding,Food - Desserts,362.86,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,1,764,Nike,green,S,41.0
Creamy Ranch Dressing,Food - Dressings,258.92,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,1,798,Puma,red,M,16.15
Teriyaki Beef Strips,Food - Frozen Meals,493.5,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,3,839,Puma,black,XL,2.73
Frozen Acai Bowl,Food - Frozen Foods,970.9,vel nisl duis ac nibh fusce lacus purus aliquet at,3,781,Adidas,black,M,17.13
Crispy Potato Tots,Food - Frozen Foods,620.9,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,3,560,Adidas,black,XL,23.82
Hand Mixer,Kitchen,685.95,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,4,873,Puma,green,S,21.95
Set of Silicone Cooking Utensils,Kitchen,220.49,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,2,651,Puma,blue,S,36.83
Organic Brown Sugar,Food - Baking,941.26,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,3,147,Adidas,green,L,27.11
Chocolate Covered Pretzels,Food - Snacks,789.8,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,1,815,Puma,red,M,2.75
LED Flashlight,Outdoor,656.04,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,3,195,Adidas,black,M,10.94
Potting Soil,Garden,949.25,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,4,206,Adidas,black,M,13.27
Asian Stir-Fry Vegetables,Food - Frozen Foods,936.51,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed,3,295,Nike,black,M,9.48
Organic Spinach,Food - Produce,673.72,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,5,663,Puma,green,M,22.55
Raisin Cinnamon Granola,Food - Cereals,747.51,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,4,628,Adidas,blue,S,12.85
Digital Camera,Electronics,418.89,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,2,672,Puma,red,M,31.43
Rechargeable Hand Warmer,Accessories,200.48,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec,5,943,Adidas,blue,L,2.85
USB-C Hub,Computers,699.81,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,4,400,Adidas,red,L,6.89
Peanut Butter Pretzel Bites,Food - Snacks,555.54,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,3,988,Puma,green,L,39.38
Honey mustard chicken tenders,Food - Meat,100.28,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,3,348,Nike,blue,L,1.45
Smart Water Bottle with Hydration Reminder,Fitness,261.41,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,2,454,Puma,blue,XL,27.76
Cheesy Cauliflower Bake,Food - Frozen Vegetables,400.85,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,2,985,Adidas,black,S,19.52
Laptop Backpack,Accessories,791.71,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,1,883,Adidas,red,XL,0.68
USB Desk Fan,Home,55.77,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,5,954,Nike,black,S,8.39
Vacuum Sealer Machine,Kitchen,85.47,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,4,346,Puma,black,XL,16.78
Eggs (dozen),Food - Dairy,601.18,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,1,806,Nike,black,M,22.51
Mango Chia Pudding,Food - Snacks,214.67,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,2,658,Adidas,blue,XL,45.89
Coconut Bowls Set,Kitchen,10.76,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,5,376,Nike,red,S,4.02
Stainless Steel Straws,Kitchen,557.45,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,1,683,Nike,blue,M,36.26
Granola Cereal,Food - Breakfast,602.0,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,2,944,Nike,red,XL,34.31
Rechargeable Electric Toothbrush,Health,966.93,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,4,982,Nike,green,L,17.9
Cooking Utensil Set,Kitchen,279.43,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,5,766,Adidas,red,M,3.05
Wireless Gaming Mouse,Gaming,203.17,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,3,209,Nike,red,S,27.55
Water Bottle,Fitness,979.76,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,1,881,Nike,red,XL,46.23
Cheesy Broccoli Soup Mix,Food - Soups,761.27,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,4,882,Adidas,blue,XL,39.9
Bamboo Bathtub Caddy,Home,330.51,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,2,0,Adidas,green,XL,2.92
Chili Con Carne Mix,Food - Spices & Seasonings,412.15,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,3,7,Puma,red,XL,3.2
Organic Fruit Salad,Food - Produce,342.6,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,2,805,Puma,black,L,45.16
Travel Eye Mask with Ear Plugs,Travel,378.47,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,2,383,Adidas,blue,XL,40.22
